epoch,time(s),train_loss,test_loss,test_error(%)
001,00149,2.029350,0.00187,65.30
002,00147,1.979725,0.00182,62.57
003,00147,1.971817,0.00177,61.29
004,00147,1.920190,0.00174,60.26
005,00147,1.915788,0.00170,58.28
006,00146,1.878658,0.00167,57.26
007,00147,1.858623,0.00164,56.24
008,00147,1.816603,0.00161,54.99
009,00147,1.800249,0.00159,54.93
010,00147,1.803076,0.00157,54.27
011,00147,1.781124,0.00155,53.76
012,00146,1.772080,0.00154,53.37
013,00146,1.757652,0.00153,53.44
014,00147,1.769122,0.00152,52.42
015,00146,1.714090,0.00150,51.78
016,00146,1.740184,0.00150,52.40
017,00147,1.733675,0.00148,51.55
018,00147,1.685105,0.00147,51.04
019,00146,1.691769,0.00146,50.89
020,00147,1.712715,0.00145,50.42
021,00147,1.679466,0.00144,50.07
022,00147,1.685569,0.00144,50.01
023,00146,1.667355,0.00142,49.04
024,00146,1.622875,0.00142,49.22
025,00146,1.634687,0.00140,48.52
026,00146,1.657839,0.00140,48.18
027,00146,1.619543,0.00140,48.18
028,00148,1.634419,0.00139,48.17
029,00147,1.581516,0.00138,47.82
030,00147,1.600015,0.00137,47.61
031,00147,1.604789,0.00137,47.24
032,00146,1.589368,0.00136,47.11
033,00146,1.582908,0.00136,47.42
034,00146,1.567341,0.00135,47.18
035,00147,1.593500,0.00134,46.63
036,00147,1.620551,0.00134,46.41
037,00147,1.527527,0.00133,46.05
038,00147,1.549678,0.00133,46.55
039,00146,1.575177,0.00133,45.96
040,00147,1.530564,0.00132,45.73
041,00147,1.530470,0.00132,45.32
042,00147,1.544245,0.00132,45.75
043,00146,1.528330,0.00131,45.52
044,00146,1.523652,0.00131,45.52
045,00147,1.522663,0.00130,45.07
046,00147,1.504768,0.00129,44.39
047,00147,1.560190,0.00130,45.27
048,00147,1.504746,0.00129,44.60
049,00147,1.533756,0.00128,44.60
050,00147,1.520051,0.00129,44.60
051,00147,1.536061,0.00128,44.70
052,00147,1.499044,0.00128,44.29
053,00147,1.476143,0.00128,44.35
054,00147,1.498787,0.00127,44.47
055,00147,1.495849,0.00127,43.90
056,00148,1.461245,0.00127,43.88
057,00147,1.493805,0.00126,43.62
058,00147,1.478097,0.00127,43.90
059,00147,1.530734,0.00127,43.86
060,00146,1.501418,0.00126,43.32
061,00146,1.534835,0.00126,43.50
062,00147,1.494535,0.00126,43.17
063,00146,1.443617,0.00126,43.34
064,00147,1.471035,0.00126,43.38
065,00147,1.470541,0.00125,43.14
066,00147,1.493779,0.00125,42.95
067,00147,1.468510,0.00125,43.17
068,00147,1.458335,0.00125,43.06
069,00147,1.455794,0.00125,42.87
070,00147,1.453153,0.00125,43.08
071,00147,1.478250,0.00124,42.90
072,00147,1.459505,0.00124,42.81
073,00147,1.446489,0.00124,42.80
074,00147,1.490879,0.00124,42.82
075,00147,1.465249,0.00124,42.77
076,00147,1.452016,0.00124,42.87
077,00147,1.454920,0.00124,42.64
078,00146,1.430070,0.00124,42.69
079,00146,1.457079,0.00124,42.72
080,00146,1.458748,0.00124,42.71
081,00147,1.456446,0.00124,42.57
082,00146,1.443700,0.00124,42.52
083,00147,1.489980,0.00124,42.49
084,00147,1.437375,0.00124,42.47
085,00147,1.445424,0.00124,42.43
086,00147,1.487823,0.00123,42.41
087,00147,1.463335,0.00124,42.31
088,00147,1.452796,0.00124,42.41
089,00147,1.456591,0.00124,42.40
090,00147,1.406215,0.00123,42.46
091,00147,1.480285,0.00123,42.31
092,00147,1.448648,0.00123,42.46
093,00146,1.460584,0.00123,42.37
094,00146,1.463552,0.00123,42.43
095,00146,1.460233,0.00123,42.41
096,00146,1.444390,0.00123,42.44
097,00147,1.426088,0.00123,42.41
098,00146,1.468396,0.00123,42.39
099,00147,1.427524,0.00123,42.39
100,00147,1.473430,0.00123,42.38
101,00000,0.000000,0.00000,46.45
