epoch,time(s),train_loss,test_loss,test_error(%)
001,00164,1.116997,0.00081,21.77
002,00148,0.869535,0.00058,16.66
003,00149,0.793681,0.00049,14.71
004,00149,0.712213,0.00045,13.25
005,00149,0.686542,0.00041,12.26
006,00149,0.693247,0.00039,11.82
007,00148,0.635693,0.00037,11.32
008,00150,0.588991,0.00035,10.95
009,00149,0.557465,0.00034,10.77
010,00149,0.592164,0.00033,10.16
011,00149,0.535753,0.00032,10.12
012,00148,0.540063,0.00031,9.79
013,00149,0.529911,0.00030,9.40
014,00148,0.541082,0.00030,9.31
015,00149,0.497841,0.00029,9.23
016,00148,0.477363,0.00028,9.27
017,00149,0.490232,0.00028,8.92
018,00148,0.475118,0.00027,8.92
019,00149,0.451125,0.00027,8.84
020,00149,0.448631,0.00027,8.62
021,00148,0.448138,0.00026,8.42
022,00149,0.477102,0.00026,8.49
023,00149,0.417161,0.00025,8.33
024,00149,0.446592,0.00025,8.35
025,00148,0.421482,0.00025,8.18
026,00149,0.433602,0.00025,8.12
027,00149,0.428708,0.00025,8.13
028,00149,0.419657,0.00024,7.93
029,00148,0.401313,0.00024,8.06
030,00149,0.384798,0.00024,7.97
031,00148,0.375910,0.00023,7.74
032,00148,0.386482,0.00023,7.74
033,00149,0.367256,0.00023,7.59
034,00149,0.378177,0.00023,7.52
035,00149,0.382214,0.00023,7.50
036,00149,0.359120,0.00022,7.35
037,00148,0.363647,0.00022,7.39
038,00148,0.360167,0.00022,7.24
039,00148,0.386478,0.00022,7.21
040,00148,0.344989,0.00022,7.29
041,00148,0.363414,0.00022,7.19
042,00149,0.354385,0.00022,7.17
043,00148,0.357491,0.00022,7.29
044,00148,0.356456,0.00021,7.27
045,00148,0.321481,0.00021,7.34
046,00148,0.337441,0.00021,7.28
047,00148,0.320052,0.00021,7.26
048,00148,0.317278,0.00021,7.24
049,00148,0.319982,0.00021,7.07
050,00148,0.322870,0.00021,7.04
051,00148,0.316829,0.00021,7.24
052,00148,0.346355,0.00021,7.05
053,00147,0.322553,0.00021,7.08
054,00148,0.319015,0.00020,6.96
055,00148,0.328377,0.00020,7.04
056,00148,0.313146,0.00020,6.96
057,00148,0.302541,0.00020,6.95
058,00147,0.304806,0.00020,6.95
059,00148,0.319030,0.00020,7.01
060,00148,0.322850,0.00020,6.97
061,00148,0.291335,0.00020,6.94
062,00148,0.302171,0.00020,6.97
063,00148,0.282941,0.00020,6.89
064,00148,0.312229,0.00020,6.96
065,00147,0.336419,0.00020,6.90
066,00147,0.301173,0.00020,6.91
067,00148,0.313996,0.00020,6.85
068,00148,0.298104,0.00020,6.82
069,00148,0.296038,0.00020,6.84
070,00148,0.309057,0.00020,6.90
071,00148,0.294174,0.00020,6.78
072,00148,0.300743,0.00020,6.87
073,00147,0.273954,0.00020,6.83
074,00147,0.279931,0.00020,6.81
075,00148,0.286487,0.00020,6.81
076,00148,0.305935,0.00020,6.81
077,00148,0.296534,0.00020,6.81
078,00147,0.297798,0.00020,6.83
079,00147,0.266419,0.00020,6.86
080,00148,0.305061,0.00020,6.92
081,00149,0.320990,0.00020,6.92
082,00149,0.278801,0.00020,6.86
083,00148,0.313820,0.00019,6.89
084,00148,0.283953,0.00019,6.84
085,00148,0.304367,0.00019,6.89
086,00148,0.292072,0.00019,6.89
087,00148,0.290185,0.00019,6.86
088,00148,0.296919,0.00019,6.82
089,00148,0.304879,0.00019,6.79
090,00148,0.288249,0.00019,6.86
091,00148,0.290553,0.00019,6.83
092,00148,0.268776,0.00019,6.82
093,00148,0.266783,0.00019,6.85
094,00148,0.272183,0.00019,6.86
095,00148,0.249741,0.00019,6.84
096,00148,0.270755,0.00019,6.85
097,00148,0.284288,0.00019,6.84
098,00148,0.293260,0.00019,6.85
099,00148,0.283797,0.00019,6.84
100,00148,0.310097,0.00019,6.84
101,00000,0.000000,0.00000,13.45
