epoch,time(s),train_loss,test_loss,test_error(%)
001,00149,2.219834,0.00209,75.56
002,00146,2.158123,0.00202,72.05
003,00146,2.132732,0.00198,70.38
004,00146,2.084377,0.00196,69.02
005,00146,2.078295,0.00194,67.94
006,00146,2.086468,0.00192,67.15
007,00146,2.072604,0.00191,66.88
008,00146,2.058908,0.00190,66.48
009,00146,2.032859,0.00189,66.16
010,00146,2.049919,0.00188,65.87
011,00146,2.030739,0.00188,65.70
012,00146,2.017341,0.00187,65.55
013,00146,2.008846,0.00186,65.34
014,00146,2.029815,0.00186,64.77
015,00146,2.005790,0.00185,64.69
016,00146,2.002904,0.00185,64.66
017,00146,1.997826,0.00185,64.40
018,00146,2.014313,0.00184,64.29
019,00146,2.006766,0.00184,64.24
020,00146,2.031099,0.00184,64.24
021,00146,1.988003,0.00183,63.86
022,00146,2.007686,0.00183,63.79
023,00146,1.995356,0.00183,63.78
024,00146,1.970125,0.00183,63.57
025,00146,1.981932,0.00182,63.61
026,00146,1.998087,0.00182,63.34
027,00146,1.992956,0.00182,63.38
028,00146,1.978412,0.00182,63.39
029,00147,1.959376,0.00182,63.17
030,00146,1.986066,0.00181,63.03
031,00147,1.984404,0.00181,62.89
032,00146,1.973410,0.00181,62.89
033,00146,1.964671,0.00181,62.83
034,00146,1.973986,0.00181,63.09
035,00146,1.976749,0.00181,62.84
036,00146,1.992177,0.00180,62.80
037,00146,1.966983,0.00180,62.74
038,00146,1.980585,0.00180,62.69
039,00147,1.965654,0.00180,62.56
040,00147,1.950179,0.00180,62.64
041,00149,1.949515,0.00180,62.30
042,00146,1.973884,0.00180,62.40
043,00147,1.960012,0.00180,62.43
044,00146,1.972208,0.00180,62.31
045,00146,1.982268,0.00179,62.09
046,00146,1.940618,0.00179,62.05
047,00146,1.985383,0.00179,61.99
048,00146,1.956937,0.00179,61.94
049,00146,1.972661,0.00179,62.03
050,00146,1.963389,0.00179,61.92
051,00146,1.961500,0.00179,61.84
052,00146,1.950882,0.00179,61.81
053,00146,1.949603,0.00179,61.75
054,00146,1.932765,0.00179,61.71
055,00146,1.949314,0.00179,61.75
056,00145,1.932861,0.00179,61.77
057,00146,1.959894,0.00178,61.60
058,00146,1.956683,0.00178,61.60
059,00146,1.974388,0.00178,61.73
060,00146,1.969518,0.00178,61.70
061,00146,1.996968,0.00178,61.74
062,00146,1.959698,0.00178,61.62
063,00146,1.942158,0.00178,61.51
064,00146,1.956218,0.00178,61.55
065,00146,1.966365,0.00178,61.56
066,00146,1.955463,0.00178,61.39
067,00146,1.928166,0.00178,61.42
068,00146,1.951166,0.00178,61.43
069,00146,1.951264,0.00178,61.40
070,00147,1.959282,0.00178,61.35
071,00146,1.942376,0.00178,61.32
072,00146,1.944553,0.00178,61.22
073,00146,1.954217,0.00178,61.29
074,00146,1.964080,0.00178,61.31
075,00147,1.946235,0.00178,61.38
076,00146,1.921167,0.00178,61.36
077,00146,1.955262,0.00178,61.36
078,00146,1.939032,0.00178,61.38
079,00146,1.955281,0.00178,61.35
080,00146,1.953034,0.00178,61.37
081,00146,1.968056,0.00178,61.35
082,00146,1.950946,0.00178,61.28
083,00146,1.952815,0.00178,61.28
084,00147,1.948772,0.00178,61.37
085,00146,1.970707,0.00177,61.28
086,00146,1.963924,0.00177,61.38
087,00147,1.972643,0.00177,61.34
088,00146,1.938819,0.00177,61.35
089,00146,1.947356,0.00177,61.33
090,00146,1.915323,0.00177,61.26
091,00146,1.950135,0.00177,61.32
092,00146,1.964994,0.00177,61.29
093,00146,1.976290,0.00177,61.26
094,00146,1.953239,0.00177,61.32
095,00146,1.952014,0.00177,61.28
096,00146,1.936089,0.00177,61.26
097,00146,1.957664,0.00177,61.32
098,00146,1.963396,0.00177,61.25
099,00146,1.931957,0.00177,61.25
100,00146,1.951601,0.00177,61.25
101,00000,0.000000,0.00000,63.32
