epoch,time(s),train_loss,test_loss,test_error(%)
001,00163,2.306716,0.00215,76.52
002,00148,2.094422,0.00195,62.54
003,00148,1.962669,0.00180,52.94
004,00148,1.854839,0.00168,47.34
005,00148,1.770790,0.00158,44.39
006,00148,1.716709,0.00149,41.95
007,00148,1.632405,0.00141,39.75
008,00148,1.567788,0.00134,38.02
009,00149,1.524264,0.00128,36.62
010,00148,1.509043,0.00123,34.93
011,00148,1.434053,0.00118,33.51
012,00149,1.409719,0.00114,32.61
013,00148,1.396409,0.00110,31.21
014,00149,1.384891,0.00107,30.40
015,00148,1.326904,0.00104,29.48
016,00149,1.298614,0.00102,28.85
017,00148,1.296346,0.00099,28.15
018,00148,1.270595,0.00097,27.75
019,00149,1.268166,0.00095,27.03
020,00148,1.244440,0.00093,26.61
021,00149,1.238554,0.00092,26.07
022,00148,1.220208,0.00090,25.56
023,00148,1.211647,0.00089,25.14
024,00148,1.192621,0.00087,24.89
025,00149,1.162023,0.00086,24.71
026,00148,1.185578,0.00085,24.32
027,00149,1.156981,0.00084,24.21
028,00148,1.127995,0.00083,23.80
029,00148,1.147317,0.00082,23.64
030,00148,1.113600,0.00081,23.34
031,00148,1.104650,0.00080,23.05
032,00148,1.117899,0.00079,22.96
033,00149,1.099213,0.00079,22.77
034,00148,1.091734,0.00078,22.58
035,00148,1.075519,0.00077,22.23
036,00149,1.075924,0.00076,22.17
037,00148,1.087305,0.00076,21.95
038,00148,1.064629,0.00075,21.79
039,00148,1.074141,0.00075,21.56
040,00148,1.028833,0.00074,21.45
041,00148,1.079022,0.00074,21.31
042,00148,1.055986,0.00073,21.11
043,00148,1.068312,0.00073,21.05
044,00148,1.042187,0.00072,20.92
045,00148,0.992498,0.00072,20.80
046,00148,1.040248,0.00071,20.62
047,00148,1.009646,0.00071,20.59
048,00148,1.024866,0.00071,20.41
049,00147,1.002567,0.00070,20.35
050,00148,1.011356,0.00070,20.33
051,00148,1.015273,0.00070,20.20
052,00147,1.019531,0.00069,20.20
053,00147,1.028723,0.00069,20.08
054,00147,0.985489,0.00069,20.03
055,00148,1.039098,0.00068,19.92
056,00147,1.026704,0.00068,19.81
057,00147,1.002664,0.00068,19.70
058,00147,0.984947,0.00068,19.76
059,00147,0.988550,0.00067,19.64
060,00147,0.988133,0.00067,19.66
061,00147,0.985395,0.00067,19.41
062,00147,1.003350,0.00067,19.53
063,00147,0.977952,0.00067,19.43
064,00147,1.019769,0.00066,19.32
065,00147,1.011871,0.00066,19.38
066,00147,1.005984,0.00066,19.20
067,00148,0.975771,0.00066,19.18
068,00147,0.979340,0.00066,19.20
069,00148,0.946807,0.00066,19.12
070,00148,1.014395,0.00065,19.06
071,00147,0.951308,0.00065,19.00
072,00147,0.968478,0.00065,19.09
073,00148,0.973303,0.00065,18.97
074,00148,0.950958,0.00065,18.94
075,00148,0.955278,0.00065,18.88
076,00148,0.967307,0.00065,19.04
077,00147,0.944257,0.00065,18.94
078,00147,0.964567,0.00065,18.91
079,00148,0.953361,0.00064,18.79
080,00148,0.977810,0.00064,18.94
081,00148,0.983951,0.00064,18.85
082,00149,0.939799,0.00064,18.85
083,00148,0.987465,0.00064,18.83
084,00148,0.961314,0.00064,18.80
085,00148,0.981633,0.00064,18.82
086,00147,0.938310,0.00064,18.82
087,00148,0.967278,0.00064,18.77
088,00147,0.965392,0.00064,18.77
089,00148,0.962268,0.00064,18.85
090,00147,0.999970,0.00064,18.77
091,00147,0.936338,0.00064,18.75
092,00148,0.944457,0.00064,18.71
093,00148,0.936437,0.00064,18.76
094,00148,0.953336,0.00064,18.71
095,00148,0.916547,0.00064,18.70
096,00148,0.952014,0.00064,18.71
097,00148,0.927274,0.00064,18.73
098,00148,0.953376,0.00063,18.59
099,00148,0.947460,0.00063,18.69
100,00148,0.963478,0.00063,18.64
101,00000,0.000000,0.00000,29.83
