epoch,time(s),train_loss,test_loss,test_error(%)
001,00154,2.340347,0.00202,73.48
002,00144,2.170757,0.00191,68.16
003,00144,2.074883,0.00184,64.29
004,00144,1.979929,0.00178,62.07
005,00144,1.944104,0.00173,60.26
006,00144,1.880402,0.00168,58.61
007,00145,1.860607,0.00164,57.19
008,00144,1.808774,0.00160,55.86
009,00144,1.794282,0.00156,54.57
010,00144,1.758214,0.00154,53.73
011,00144,1.735617,0.00151,52.51
012,00145,1.707150,0.00149,51.67
013,00144,1.680739,0.00147,50.87
014,00144,1.663594,0.00144,49.75
015,00144,1.679414,0.00142,49.05
016,00144,1.639780,0.00140,48.85
017,00144,1.603350,0.00139,48.46
018,00144,1.614666,0.00137,47.20
019,00144,1.601031,0.00135,46.95
020,00144,1.576787,0.00133,45.94
021,00144,1.558551,0.00132,45.85
022,00144,1.562637,0.00131,45.16
023,00144,1.559892,0.00129,44.48
024,00144,1.508407,0.00128,43.91
025,00144,1.516410,0.00127,43.35
026,00144,1.486972,0.00126,43.50
027,00144,1.495250,0.00124,42.91
028,00145,1.493964,0.00124,42.53
029,00144,1.501828,0.00122,42.01
030,00144,1.444513,0.00122,41.73
031,00144,1.472901,0.00121,41.37
032,00144,1.443367,0.00120,41.33
033,00143,1.434773,0.00119,40.76
034,00144,1.443429,0.00119,40.66
035,00144,1.449417,0.00118,40.41
036,00144,1.420802,0.00117,39.92
037,00144,1.423163,0.00116,39.87
038,00144,1.414766,0.00116,39.57
039,00144,1.377516,0.00115,39.39
040,00144,1.418960,0.00114,38.89
041,00144,1.399193,0.00114,39.36
042,00144,1.372518,0.00114,38.97
043,00143,1.366223,0.00113,38.68
044,00145,1.390656,0.00113,38.56
045,00144,1.366770,0.00112,38.39
046,00144,1.388032,0.00112,38.28
047,00144,1.372886,0.00111,37.90
048,00144,1.314740,0.00111,38.07
049,00144,1.366166,0.00111,37.99
050,00144,1.336963,0.00110,38.16
051,00144,1.351116,0.00110,37.85
052,00144,1.315704,0.00109,37.70
053,00144,1.321081,0.00109,37.64
054,00144,1.331039,0.00109,37.29
055,00144,1.340404,0.00108,37.22
056,00144,1.342020,0.00108,37.20
057,00144,1.355195,0.00108,36.85
058,00144,1.339603,0.00107,36.80
059,00144,1.291443,0.00107,37.05
060,00146,1.342456,0.00107,36.75
061,00145,1.298507,0.00107,36.54
062,00144,1.335841,0.00107,36.78
063,00144,1.338879,0.00106,36.48
064,00144,1.308664,0.00106,36.50
065,00144,1.333346,0.00106,36.26
066,00144,1.279733,0.00106,36.10
067,00144,1.282629,0.00106,36.26
068,00144,1.289204,0.00105,35.99
069,00144,1.313715,0.00106,36.24
070,00144,1.316316,0.00105,35.95
071,00144,1.262871,0.00105,35.95
072,00144,1.281483,0.00105,36.06
073,00144,1.261570,0.00105,35.89
074,00144,1.290859,0.00104,35.84
075,00144,1.315221,0.00104,35.71
076,00144,1.309545,0.00105,35.62
077,00144,1.290042,0.00104,35.70
078,00144,1.295827,0.00104,35.84
079,00144,1.271197,0.00104,35.69
080,00144,1.296903,0.00104,35.54
081,00144,1.269330,0.00104,35.31
082,00144,1.315606,0.00104,35.60
083,00144,1.269354,0.00104,35.45
084,00144,1.291091,0.00104,35.35
085,00144,1.295357,0.00104,35.49
086,00144,1.289337,0.00104,35.57
087,00144,1.249991,0.00104,35.31
088,00144,1.307136,0.00103,35.32
089,00144,1.298921,0.00104,35.44
090,00144,1.290478,0.00104,35.28
091,00144,1.261545,0.00104,35.56
092,00144,1.317027,0.00104,35.38
093,00144,1.278595,0.00104,35.52
094,00144,1.281376,0.00104,35.37
095,00144,1.279953,0.00104,35.60
096,00144,1.275678,0.00104,35.23
097,00144,1.278238,0.00104,35.35
098,00144,1.262198,0.00104,35.36
099,00144,1.250448,0.00103,35.25
100,00144,1.285941,0.00104,35.40
101,00000,0.000000,0.00000,41.19
