epoch,time(s),train_loss,test_loss,test_error(%)
001,00168,2.140698,0.00191,64.49
002,00145,1.847958,0.00161,52.06
003,00146,1.633539,0.00138,45.38
004,00144,1.540678,0.00123,39.99
005,00144,1.382760,0.00113,36.76
006,00144,1.337313,0.00105,34.09
007,00144,1.294591,0.00099,32.02
008,00144,1.242044,0.00093,30.13
009,00144,1.205290,0.00090,28.63
010,00144,1.163135,0.00086,27.72
011,00144,1.150738,0.00084,26.94
012,00144,1.120850,0.00081,25.90
013,00144,1.083002,0.00079,25.03
014,00145,1.047605,0.00077,24.57
015,00145,1.031009,0.00075,24.00
016,00144,0.993330,0.00074,23.55
017,00145,1.001226,0.00073,23.09
018,00145,1.023608,0.00071,22.58
019,00144,0.975044,0.00070,22.35
020,00145,0.978499,0.00069,22.05
021,00144,0.967764,0.00068,21.63
022,00145,0.923065,0.00067,21.30
023,00144,0.923486,0.00067,21.17
024,00144,0.937442,0.00066,20.93
025,00144,0.911341,0.00064,20.43
026,00144,0.891263,0.00064,20.64
027,00144,0.921459,0.00064,20.35
028,00144,0.921915,0.00063,20.44
029,00144,0.918980,0.00062,20.20
030,00145,0.870095,0.00062,19.93
031,00144,0.884038,0.00062,19.98
032,00144,0.869115,0.00061,19.86
033,00144,0.857773,0.00061,19.66
034,00145,0.872973,0.00060,19.64
035,00145,0.836123,0.00060,19.55
036,00144,0.861952,0.00060,19.58
037,00144,0.845560,0.00059,19.41
038,00144,0.851941,0.00059,19.17
039,00144,0.832352,0.00059,19.00
040,00144,0.817818,0.00058,18.89
041,00144,0.823125,0.00058,18.94
042,00144,0.811949,0.00058,18.70
043,00144,0.811937,0.00058,18.72
044,00144,0.775247,0.00057,18.78
045,00145,0.806451,0.00057,18.67
046,00144,0.799002,0.00057,18.44
047,00144,0.809287,0.00057,18.46
048,00144,0.824064,0.00056,18.50
049,00144,0.760512,0.00056,18.43
050,00144,0.783152,0.00056,18.17
051,00144,0.819140,0.00056,18.32
052,00144,0.781498,0.00056,18.31
053,00144,0.763911,0.00056,18.17
054,00144,0.803105,0.00055,18.06
055,00144,0.772456,0.00055,18.12
056,00144,0.788068,0.00055,17.98
057,00144,0.765990,0.00055,17.86
058,00144,0.774863,0.00055,17.95
059,00144,0.724563,0.00055,18.01
060,00144,0.750800,0.00055,17.83
061,00144,0.748905,0.00055,17.92
062,00144,0.774426,0.00054,17.72
063,00144,0.745758,0.00054,17.66
064,00145,0.758282,0.00054,17.57
065,00144,0.754669,0.00054,17.71
066,00144,0.793274,0.00054,17.49
067,00144,0.785974,0.00054,17.51
068,00144,0.777527,0.00054,17.40
069,00144,0.776805,0.00054,17.55
070,00144,0.746482,0.00054,17.64
071,00144,0.757605,0.00053,17.50
072,00144,0.703956,0.00053,17.32
073,00144,0.766158,0.00054,17.38
074,00144,0.742509,0.00053,17.37
075,00144,0.766800,0.00053,17.51
076,00144,0.740380,0.00053,17.32
077,00145,0.739311,0.00053,17.32
078,00145,0.718351,0.00053,17.44
079,00145,0.761545,0.00053,17.43
080,00145,0.747447,0.00053,17.46
081,00145,0.721494,0.00053,17.43
082,00145,0.746482,0.00053,17.47
083,00145,0.703083,0.00053,17.41
084,00144,0.752578,0.00053,17.44
085,00145,0.759088,0.00053,17.37
086,00144,0.752399,0.00053,17.36
087,00145,0.748964,0.00053,17.27
088,00145,0.756917,0.00053,17.20
089,00145,0.733695,0.00053,17.40
090,00145,0.709592,0.00053,17.36
091,00145,0.759869,0.00053,17.24
092,00145,0.726905,0.00053,17.39
093,00145,0.723789,0.00053,17.32
094,00145,0.743883,0.00053,17.27
095,00145,0.752623,0.00053,17.38
096,00145,0.733411,0.00053,17.31
097,00145,0.754886,0.00053,17.40
098,00145,0.717062,0.00053,17.26
099,00145,0.759703,0.00053,17.35
100,00145,0.700577,0.00053,17.31
101,00000,0.000000,0.00000,23.81
