epoch,time(s),train_loss,test_loss,test_error(%)
001,00154,2.751586,0.00235,86.51
002,00144,2.624102,0.00226,83.53
003,00144,2.542769,0.00220,80.69
004,00144,2.485421,0.00216,79.16
005,00144,2.450009,0.00212,77.34
006,00144,2.377283,0.00209,76.83
007,00144,2.361418,0.00207,75.31
008,00145,2.330393,0.00205,74.46
009,00145,2.319253,0.00202,73.20
010,00144,2.292725,0.00201,72.55
011,00144,2.267112,0.00199,71.91
012,00146,2.238578,0.00198,71.36
013,00144,2.233250,0.00197,70.57
014,00144,2.201622,0.00196,70.57
015,00144,2.218689,0.00194,69.57
016,00144,2.201186,0.00193,68.98
017,00144,2.147469,0.00193,68.86
018,00144,2.154577,0.00192,68.43
019,00144,2.156503,0.00191,68.97
020,00144,2.154132,0.00190,68.00
021,00144,2.126922,0.00189,67.52
022,00144,2.110720,0.00188,67.48
023,00145,2.106764,0.00187,67.08
024,00144,2.090169,0.00187,66.63
025,00144,2.078095,0.00186,66.38
026,00144,2.056280,0.00185,65.99
027,00144,2.087154,0.00184,65.50
028,00144,2.066865,0.00184,65.23
029,00144,2.080892,0.00183,64.71
030,00144,2.030611,0.00183,65.07
031,00144,2.040457,0.00182,64.32
032,00144,2.034256,0.00181,63.86
033,00144,2.023670,0.00181,63.98
034,00144,2.026760,0.00180,63.71
035,00144,2.022121,0.00180,63.47
036,00144,1.994930,0.00179,63.30
037,00144,1.987668,0.00179,63.12
038,00144,2.010248,0.00178,62.75
039,00144,1.989938,0.00178,62.46
040,00144,2.007214,0.00178,62.70
041,00144,2.005834,0.00178,62.70
042,00144,2.000524,0.00177,62.25
043,00144,1.975704,0.00177,62.28
044,00145,1.981499,0.00176,62.10
045,00144,1.979932,0.00176,62.20
046,00144,1.979594,0.00175,61.72
047,00144,1.969300,0.00175,61.93
048,00144,1.963401,0.00175,61.85
049,00145,1.976005,0.00175,61.63
050,00144,1.973068,0.00175,61.44
051,00144,1.974119,0.00174,61.53
052,00144,1.915411,0.00174,61.40
053,00144,1.961257,0.00173,61.09
054,00144,1.944682,0.00173,61.44
055,00144,1.955368,0.00173,61.22
056,00144,1.947251,0.00173,61.06
057,00144,1.982796,0.00173,61.17
058,00144,1.971514,0.00173,61.02
059,00144,1.950842,0.00172,60.81
060,00144,1.954308,0.00172,60.98
061,00145,1.924488,0.00173,61.13
062,00145,1.956217,0.00172,61.10
063,00144,1.937949,0.00172,60.96
064,00144,1.918886,0.00171,60.80
065,00144,1.954239,0.00172,60.78
066,00144,1.909625,0.00171,61.08
067,00144,1.918988,0.00171,60.81
068,00144,1.902156,0.00171,60.45
069,00145,1.935508,0.00171,60.35
070,00144,1.928841,0.00171,60.52
071,00144,1.923793,0.00170,60.60
072,00144,1.919109,0.00171,60.67
073,00144,1.905662,0.00171,60.62
074,00144,1.933397,0.00170,60.45
075,00144,1.933199,0.00170,60.35
076,00144,1.936271,0.00170,60.42
077,00144,1.925254,0.00170,60.30
078,00144,1.941137,0.00170,60.34
079,00144,1.920550,0.00170,60.52
080,00144,1.917886,0.00170,60.20
081,00144,1.903091,0.00169,60.14
082,00144,1.907310,0.00170,60.08
083,00144,1.917642,0.00169,60.16
084,00144,1.924143,0.00169,60.12
085,00144,1.912519,0.00170,60.33
086,00144,1.908026,0.00169,60.05
087,00144,1.893033,0.00170,60.25
088,00144,1.929884,0.00169,60.32
089,00144,1.931220,0.00170,60.05
090,00144,1.913625,0.00169,59.97
091,00144,1.907603,0.00169,60.00
092,00144,1.936431,0.00169,60.13
093,00144,1.893462,0.00169,60.10
094,00144,1.922261,0.00169,59.86
095,00144,1.916798,0.00169,59.96
096,00144,1.891344,0.00169,60.29
097,00144,1.916061,0.00169,59.91
098,00144,1.903570,0.00169,59.89
099,00144,1.903939,0.00169,60.11
100,00144,1.906419,0.00169,59.99
101,00000,0.000000,0.00000,64.16
