epoch,time(s),train_loss,test_loss,test_error(%)
001,00156,2.719908,0.00232,82.21
002,00145,2.481697,0.00216,76.71
003,00145,2.331114,0.00207,72.46
004,00145,2.278482,0.00202,69.98
005,00145,2.219055,0.00199,68.84
006,00145,2.169929,0.00196,66.83
007,00145,2.144545,0.00193,65.46
008,00145,2.124035,0.00191,64.55
009,00145,2.095696,0.00188,63.57
010,00145,2.072731,0.00187,62.37
011,00145,2.063082,0.00184,62.10
012,00145,2.034617,0.00182,61.06
013,00145,2.032693,0.00180,60.15
014,00145,1.996968,0.00178,59.11
015,00145,2.001385,0.00177,58.79
016,00145,1.959454,0.00176,58.02
017,00145,1.969921,0.00174,57.28
018,00145,1.957273,0.00173,56.43
019,00145,1.925609,0.00171,55.46
020,00144,1.928011,0.00170,55.23
021,00145,1.914778,0.00169,55.07
022,00145,1.899545,0.00168,54.43
023,00145,1.897651,0.00165,53.32
024,00145,1.920569,0.00165,54.05
025,00145,1.864519,0.00163,53.18
026,00145,1.854345,0.00163,52.78
027,00145,1.860913,0.00162,52.61
028,00145,1.857001,0.00160,52.30
029,00145,1.846726,0.00160,51.69
030,00147,1.829854,0.00158,51.23
031,00145,1.823694,0.00158,50.94
032,00145,1.805460,0.00157,50.59
033,00145,1.784893,0.00156,50.32
034,00145,1.790662,0.00154,50.09
035,00145,1.770379,0.00154,49.86
036,00145,1.782405,0.00154,50.09
037,00145,1.780440,0.00153,49.01
038,00145,1.774237,0.00152,49.63
039,00145,1.754067,0.00151,49.08
040,00144,1.753059,0.00151,49.03
041,00145,1.738278,0.00150,48.90
042,00145,1.736260,0.00149,48.70
043,00146,1.729685,0.00149,48.58
044,00145,1.713344,0.00148,48.39
045,00145,1.751878,0.00147,48.17
046,00145,1.714250,0.00146,47.83
047,00145,1.723069,0.00146,47.48
048,00145,1.716753,0.00146,47.39
049,00145,1.681020,0.00145,47.34
050,00145,1.701727,0.00145,47.23
051,00145,1.706362,0.00144,47.04
052,00145,1.683100,0.00144,47.10
053,00145,1.673227,0.00143,46.75
054,00144,1.719153,0.00143,46.76
055,00145,1.673946,0.00143,46.71
056,00146,1.676640,0.00142,46.67
057,00145,1.678991,0.00142,46.23
058,00145,1.658494,0.00141,46.00
059,00145,1.639663,0.00141,46.16
060,00145,1.659362,0.00141,45.87
061,00145,1.658079,0.00141,45.88
062,00145,1.659513,0.00140,45.96
063,00145,1.627031,0.00139,45.47
064,00145,1.650557,0.00140,45.54
065,00145,1.644474,0.00139,45.38
066,00145,1.643215,0.00138,45.25
067,00145,1.661375,0.00138,45.17
068,00145,1.660589,0.00138,45.48
069,00145,1.637812,0.00139,45.30
070,00145,1.648409,0.00138,45.12
071,00145,1.647743,0.00138,45.22
072,00145,1.607117,0.00138,45.44
073,00144,1.653590,0.00137,45.27
074,00144,1.606310,0.00137,45.18
075,00144,1.638383,0.00137,45.12
076,00145,1.616930,0.00136,45.05
077,00145,1.639377,0.00136,45.03
078,00145,1.636678,0.00137,44.87
079,00144,1.624531,0.00137,44.86
080,00145,1.618072,0.00136,44.71
081,00145,1.630622,0.00136,44.58
082,00145,1.631099,0.00136,44.62
083,00144,1.639986,0.00135,44.64
084,00144,1.626387,0.00136,44.91
085,00145,1.631920,0.00135,44.43
086,00145,1.615361,0.00136,44.41
087,00145,1.596428,0.00136,44.75
088,00145,1.604617,0.00135,44.50
089,00145,1.631325,0.00135,44.67
090,00145,1.598822,0.00135,44.44
091,00144,1.619690,0.00135,44.51
092,00144,1.616222,0.00135,44.42
093,00145,1.614164,0.00136,44.49
094,00144,1.595261,0.00135,44.48
095,00145,1.625902,0.00135,44.18
096,00145,1.598173,0.00136,44.74
097,00145,1.613164,0.00135,44.42
098,00144,1.596743,0.00135,44.56
099,00145,1.621201,0.00135,44.50
100,00145,1.629283,0.00134,44.12
101,00000,0.000000,0.00000,52.13
